Date,Open,High,Low,Close,Adj Close,Volume
2018-10-14,4.17,4.22,4.16,4.18,4.18,104364.0
2018-10-15,4.18,4.18,4.03,4.16,4.16,284008.0
2018-10-16,4.18,4.22,4.01,4.01,4.01,135392.0
2018-10-17,4.07,4.12,4.02,4.12,4.12,37748.0
2018-10-18,4.12,4.12,4.05,4.05,4.05,36691.0
2018-10-21,4.05,4.2,4.05,4.2,4.2,44925.0
2018-10-22,4.2,4.24,4.15,4.2,4.2,110334.0
2018-10-23,4.2,4.24,4.19,4.21,4.21,25925.0
2018-10-24,4.19,4.19,4.12,4.19,4.19,50582.0
2018-10-25,4.12,4.25,4.12,4.25,4.25,608697.0
2018-10-28,4.25,4.25,4.14,4.22,4.22,146801.0
2018-10-29,4.22,4.23,4.21,4.22,4.22,51765.0
2018-10-30,4.23,4.24,4.13,4.22,4.22,45443.0
2018-10-31,4.22,4.3,4.22,4.29,4.29,165796.0
2018-11-01,4.29,4.32,4.21,4.29,4.29,14383.0
2018-11-04,4.29,4.32,4.22,4.3,4.3,31685.0
2018-11-05,4.28,4.28,4.22,4.22,4.22,19683.0
2018-11-06,4.26,4.26,4.22,4.26,4.26,33546.0
2018-11-07,4.22,4.28,4.22,4.26,4.26,64356.0
2018-11-08,4.28,4.28,4.24,4.28,4.28,75240.0
2018-11-11,4.27,4.29,4.24,4.29,4.29,45952.0
2018-11-12,4.24,4.33,4.24,4.33,4.33,27568.0
2018-11-13,4.33,4.33,4.26,4.3,4.3,25625.0
2018-11-14,4.3,4.33,4.22,4.22,4.22,66045.0
2018-11-15,4.3,4.3,4.26,4.28,4.28,39931.0
2018-11-18,4.28,4.28,4.22,4.28,4.28,379247.0
2018-11-19,4.28,4.28,4.24,4.24,4.24,5136.0
2018-11-20,4.28,4.28,4.25,4.25,4.25,83458.0
2018-11-21,4.25,4.275,4.24,4.27,4.27,87694.0
2018-11-22,4.27,4.27,4.24,4.25,4.25,19411.0
2018-11-25,4.26,4.27,4.25,4.27,4.27,11274.0
2018-11-26,4.25,4.265,4.14,4.14,4.14,105520.0
2018-11-27,4.12,4.24,4.12,4.22,4.22,22089.0
2018-11-28,4.205,4.23,4.18,4.23,4.23,15137.0
2018-11-29,4.22,4.25,4.18,4.25,4.25,39773.0
2018-12-02,4.21,4.225,4.15,4.15,4.15,11075.0
2018-12-03,4.15,4.2,4.15,4.18,4.18,21633.0
2018-12-04,4.15,4.18,4.07,4.18,4.18,95489.0
2018-12-05,4.18,4.22,4.16,4.19,4.19,110583.0
2018-12-06,4.2,4.2,4.18,4.2,4.2,16537.0
2018-12-09,4.04,4.19,4.03,4.03,4.03,5059.0
2018-12-10,4.05,4.18,4.05,4.11,4.11,35735.0
2018-12-11,4.18,4.24,4.18,4.2,4.2,94304.0
2018-12-12,4.23,4.23,4.1,4.1,4.1,17783.0
2018-12-14,4.1,4.2,4.1,4.19,4.19,9094.0
